"word";"count"
"reifen";138
"lenkreifen";66
"bereifung";50
"hinterradreifen";7
"antriebsreifen";4
"lenkbereifung";3
"vorderreifen";3
"hinterreifen";3
"lenkachsreifen";2
"antriebsachsreifen";1
"reifenversand";1
"altreifen";1
"gummistreifen";1
"greift";1
"reifenflanke";1
"reifendienst";1
"reiff";1
"hinterrreifen";1
"rad";203
"sporad";27
"altrad";20
"radlag";12
"radnab";11
"zahnrad";8
"hinterradreif";7
"lenkrad";6
"hinterrad";6
"geradegebog";5
"vorderrad";4
"antriebsrad";3
"lenkradknauf";3
"radiergummi";2
"raderwechsel";2
"radschraub";2
"laufrad";2
"radlaufschutz";1
"radiergummibelag";1
"radantrieb";1
"vorrderrad";1
"radmutt";1
"radkast";1
"ersatzrad";1
"radlauf";1
"radkart";1
"lenkradverstell";1
"räder";197
"alträder";20
"hinterräder";4
"lenkräder";3
"räderwechsel";2
"laufräder";2
"vorderräder";2
"ersatzräder";1
